state/ut,urban-percentage,rural-percentage,p-value
00,59.60095185407026,80.49274855253414,0.07863556898738089
01,41.281389427252726,54.246700175449,0.21046005654850694
02,62.067207705445625,84.10767399875326,0.25339345341320707
03,42.76410774500137,59.16108401014011,0.033135605079975886
04,44.644939544589704,59.56331275223346,0.9801999161748624
05,69.74671223721346,88.13078783803333,0.0627939229385092
06,67.54370538321031,83.29709833071047,0.0021139193159820345
07,58.95569396573344,76.44317276072566,0.48746609311941813
08,81.07611500059977,91.75340393789931,0.042360652993006336
09,73.13025042800815,92.97058438018725,0.0015318342952257325
10,75.91831819245695,84.91440289059399,0.26702490963715775
11,25.269895427730532,39.993304142897465,0.2860480940935846
12,28.385885199877748,38.23237599380321,0.3424872984328593
13,25.708536059940524,42.769208034465905,0.22613310871828626
14,48.36181328627568,52.61876496309926,0.3380932204015442
15,67.38309567991381,76.55104817912776,0.3022812395537562
16,71.93206532196582,63.17956662281969,0.3230639252377159
17,41.45234696448065,80.02487097496498,0.07392469685618397
18,39.09952434238436,56.04937868172958,0.2721486583956903
19,72.30515778330474,88.79344139621959,0.24565529750109613
20,62.027658680552186,72.10803975705838,0.16280165669397287
21,45.83356178544463,71.31475038919878,0.18821866540953733
22,78.28262540302838,89.31652811834948,0.07570123800628559
23,77.68081814084672,89.85993486284065,0.038876071085420794
24,43.89607910761057,67.00253921293651,0.17379344333835622
25,51.9663551197423,52.316378568117095,0.5138488812566406
26,44.798405927955415,39.74682438262503,0.9134194835155762
27,34.98165098493437,60.39599926402064,0.27214428474563584
28,62.00831529736534,80.72728179855179,0.13484345203647305
29,42.81654224280899,71.33001693251295,0.27265429406335795
30,21.33888537230347,25.173318156855423,0.5301227992744921
31,70.1064928872288,75.19977370765858,0.7985963530823664
32,72.70200062428907,78.17273462771594,0.19480075898601282
33,64.70000950814263,78.26885281304467,0.31006244730717236
34,63.493414857526155,79.50885627530364,0.433212692546303
35,26.945110392506688,35.637070685342884,0.18093486305567053
